Query	TaxID
S0C141784	2731619
S0C113371	2731619
S0C64774	2731619
S0C19621	2731619
S0C31428	2731619
S0C201625	2731619
S0C180800	2731619
S0C155105	2731619
S0C187686	2731619
S0C115378	2731619
S0C52251	2731619
S0C169521	2731619
S0C142072	2731619
S0C224136	2731619
S0C6319	2731619
S0C109198	2731619
S0C161302	2731619
S0C96405	2731619
S0C99284	2731619
S0C68337	2731619
S0C110548	3044455
S0C53147|provirus_38427_72916	2731619
S0C58512|provirus_10592_63983	2731619
S0C22127	2731619
S0C128691	2731619
S0C213116	2731619
S0C200565	2731619
S0C53901	2731619
S0C6452	2731619
S0C57007	2731619
S0C162033	2731619
S0C51145	2731619
S0C45118	2731619
S0C36587|provirus_3_30504	2731619
S0C24308	2731619
S0C155565	2731619
S0C131203	2731619
S0C148540	2731619
S0C57965	2731619
S0C33454	2731619
S0C190487	2731619
S0C167537	2731619
S0C61588	2731619
S0C226662	2731619
S0C128065	3044455
S0C2922	2731619
S0C183613	2731619
S0C219390	2731619
S0C99572	2731619
S0C145990	2731619
S0C100587	2731619
S0C183104	2731619
S0C171000	2731619
S0C81220	2731619
S0C109823	2731619
S0C143	2731619
S0C66817|provirus_1_29346	2731619
S0C224377	2731619
S0C165128	2731619
S0C189116	2731619
S0C200337	2731619
S0C29419	2731619
S0C57266	2731619
S0C96795	2731619
S0C198983	2731619
S0C44925	2731619
S0C57425	2731619
S0C132346	2731619
S0C135723	2731619
S0C149545	2731619
S0C212659	2731619
S0C191056	2731619
S0C157424	2731619
S0C135547	2731619
S0C193298	2731619
S0C194923	2731619
S0C179238	2731619
S0C66114	2731619
S0C147718	2731619
S0C226632	2731619
S0C182128	2731619
S0C36862	2731619
S0C190998	2731619
S0C65263	2731619
S0C218758	2731619
S0C127031	2731619
S0C35602	2731619
S0C48485	2731619
S0C19343	2731619
S0C57501	2731619
S0C217829	2731619
S0C131517	2731619
S0C70354	2731619
S0C43000	2731619
S0C20018	2731619
S0C22555	2731619
S0C118552	2731619
S0C183761	2731619
S0C191514	2731619
S0C206271	2731619
S0C43497	2731619
S0C39876	2731619
S0C144748	2731619
S0C212213	2731619
S0C213290	2731619
S0C65193	2731619
S0C90083	2731619
S0C92591	2731619
S0C53990	2731619
S0C24287	10860
S0C63605	2731619
S0C225807	2731619
S0C164532	2731619
S0C148883	2731619
S0C49773	2731619
S0C194219	2731619
S0C118783	2731619
S0C83571	2731619
S0C41819	2731619
S0C20748	2731619
S0C108840	2731619
S0C68509	2731619
S0C87977	2731619
S0C188388	2731619
S0C218417	2731619
S0C167891	2731619
S0C58305	2731619
S0C28995	2731619
S0C71252	2731619
S0C162218	2731619
S0C48408	2731619
S0C122456	2731619
S0C149613	2731619
S0C17292	2731619
S0C83448	2731619
S0C159167	2731619
S0C32538	2731619
S0C203587	2731619
S0C16169	2731619
S0C30954	2731619
S0C135371	2731619
S0C4896	2731619
S0C52486	2731619
S0C140252	2731619
S0C224011	2731619
S0C123396	2731619
S0C74803	2731619
S0C204658	2731619
S0C109075	2731619
S0C37443	2731619
S0C188873	2731619
S0C8370	2731619
S0C50384	2731619
S0C35061	2731619
S0C211762	2731619
S0C1839	2731619
S0C213313	2731619
S0C124493	2731619
S0C160049	2731619
S0C13438	2731619
S0C4656	2731619
S0C149135	2731619
S0C52411|provirus_13062_30541	2731619
S0C103259	2731619
S0C95018	2731619
S0C63545	2731619
S0C219496	2731619
S0C72171	2731619
S0C207989	10860
S0C94564	2731619
S0C49433	2731619
S0C216372	2731619
S0C27788	2731619
S0C87658	2731619
S0C30712	2731619
S0C105353	2731619
S0C148253	2731619
S0C214592	2731619
S0C141981	2731619
S0C148587	2731619
S0C142945	2731619
S0C140814	2731619
S0C100585	2731619
S0C134589	2731619
S0C40440	2731619
S0C7799	2731619
S0C136305	2731619
S0C167893	2731619
S0C55222	2731619
S0C20176	2731619
S0C124703	2731619
S0C42101	2731619
S0C93386	2731619
S0C190379	2731619
S0C218261	2731619
S0C150119	2731619
S0C4957	2731619
S0C142220	2731619
S0C61641	2731619
S0C62569	2731619
S0C165143	2731619
S0C45033	2731619
S0C205933	2731619
S0C95691	2731619
S0C165519	2731619
S0C195723	2731619
S0C15506	2731619
S0C112454	2731619
S0C52520	2731619
S0C37947	2731619
S0C28376	2731619
S0C175190	2731619
S0C6292	2731619
S0C137643	2731619
S0C83449	2731619
S0C226147	2731619
S0C121970	2731619
S0C32290	2731619
S0C48930	10501
S0C1526	2731619
S0C214499	2731619
S0C205264	2731619
S0C68546	2731619
S0C150018	2731619
S0C224924	2731619
S0C119167	2731619
S0C96095	2731619
S0C50165	2731619
S0C166443	2731619
S0C100797	2731619
S0C2916	2731619
S0C3911	2731619
S0C221355	2731619
S0C23279	2731619
S0C64040	10860
S0C120555	2731619
S0C8885	2731619
S0C189169	2731619
S0C106296	2731619
S0C76601	2731619
S0C46032	2731619
S0C138410	2731619
S0C54782	2731619
S0C149842	2731619
S0C62873	2731619
S0C221915	2731619
S0C213627	2731619
S0C195434	2731619
S0C188683	2731619
S0C95279	2731619
S0C224311	2731619
S0C194777	2731619
S0C102631	2731619
S0C137685	2731619
S0C84159	2731619
S0C21995	2731619
S0C180167	2731619
S0C188762	2731619
S0C210907	2731619
S0C194076	2731619
S0C66380	2731619
S0C178416	2731619
S0C104672	2731619
S0C41611	2731619
S0C4452	2731619
S0C92718	2731619
S0C28742	2731619
S0C92129	2731619
S0C226089	2731619
S0C69964	2731619
S0C148234	2731619
S0C121695	2731619
S0C23678	2731619
S0C143371	2731619
S0C87521	2731619
S0C128357	2731619
S0C2223	2731619
S0C96570	2731619
S0C14132	2731619
S0C139076|provirus_38873_88766	2731619
S0C53366	2731619
S0C17186	2731619
S0C175423	2731619
S0C133878	2731619
S0C220921	2731619
S0C63887	2731619
S0C161611	2731619
S0C27847	2731619
S0C36533	2731619
S0C163311	2731619
S0C53630	2731619
S0C83550	2731619
S0C157702	2731619
S0C97361|provirus_162_8796	2731619
S0C135690	2731619
S0C128467	2731619
S0C98568	2731619
S0C153204	2731619
S0C6057	2731619
S0C18660	2731619
S0C24515	2731619
S0C93404	2731619
S0C135474	2731619
S0C37434	2731619
S0C85439	2731619
S0C50082	2731619
S0C140939	2731619
S0C1465	2731619
S0C25024	2731619
S0C26415	2731619
S0C191085	2731619
S0C69031	2731619
S0C209960	2731619
S0C144850	2731619
S0C117772	2731619
S0C18969	2731619
S0C172852	2731619
S0C201066	2731619
S0C72019	2731619
S0C43112|provirus_24436_39246	2731619
S0C173969	2731619
S0C139076|provirus_181_20587	2731619
S0C123770	2731619
S0C156697	2731619
S0C77551	2731619
S0C65152	2731619
S0C62430	2731619
S0C167089	2731619
S0C86093	2731619
S0C58451	2731619
S0C181018	2731619
S0C192055	2731619
S0C129375	2731619
S0C88413|provirus_45_13126	2731619
S0C59223	2731619
S0C206087	2731619
S0C216741	2731619
S0C202877	2731619
S0C205747	2731619
S0C185882	2731619
S0C30951	2731619
S0C177514	2731619
S0C218128	2731619
S0C194412	2731619
S0C10026	2731619
S0C139024	2731619
S0C123992	2731619
S0C92373	2731619
S0C145888	2731619
S0C141131	2731619
S0C55827	2731619
S0C86037	2731619
S0C203038	2731619
S0C182770	2731619
S0C465	2731619
S0C143350	2731619
S0C154189	2731619
S0C69824	2731619
S0C204538	2731619
S0C10643|provirus_51914_103184	2731619
S0C215269	2731619
S0C15422	2731619
S0C143268	2731619
S0C35461	2731619
S0C190141|provirus_58426_66165	2731619
S0C119356	2731619
S0C154776	2731619
S0C168255	2731619
S0C66042	2731619
S0C145789	2731619
S0C114950	2731619
S0C223806	2731619
S0C121978	2731619
S0C106922	2731619
S0C63119	2731619
S0C226965	2731619
S0C127561	2731619
S0C118141	2731619
S0C57759	2731619
S0C116914	2731619
S0C144069	2731619
S0C223485	2731619
S0C132818	2731619
S0C46225	2731619
S0C4246	2731619
S0C15032	2731619
S0C31056	2731619
S0C160430	2731619
S0C177490	2731619
S0C39165	2731619
S0C183337	2731619
S0C32090	2731619
S0C76520	2731619
S0C22138	2731619
S0C221377	2731619
S0C48160	2731619
S0C217391	2731619
S0C202782	2731619
S0C150449	2731619
S0C170858	2731619
S0C60976	2731619
S0C17275	2731619
S0C145125	2731619
S0C139111	2731619
S0C179996	2731619
S0C120781	2731619
S0C104098	2731619
S0C13093	2731619
S0C35594	2731619
S0C78352	2731619
S0C130317	2731619
S0C197986	2731619
S0C124704	2731619
S0C176792	2731619
S0C12274	2731619
S0C60542	2731619
S0C55926	2731619
S0C75260	2731619
S0C171054	2731619
S0C1581	2731619
S0C18575	2731619
S0C57231	2731619
S0C166049	2731619
S0C83002	2731619
S0C8307	2731619
S0C215800	2731619
S0C96876	2731619
S0C138661	2731619
S0C52459	2731619
S0C62339	2731619
S0C17690	2731619
S0C154333	2731619
S0C53096	2731619
S0C178746|provirus_682919_700443	2731619
S0C211538	2731619
S0C77142	2731619
S0C204277	2731619
S0C45224	2731619
S0C65566	2731619
S0C17530	2731619
S0C44780	2731619
S0C80664	2731619
S0C170349	2731619
S0C6250	2731619
S0C207426	2731619
S0C183302	2731619
S0C61298	2731619
S0C196419	3044455
S0C79301	2731619
S0C47987	2731619
S0C153413	2731619
S0C149150	2731619
S0C22	2731619
S0C1238	2731619
S0C56068	2731619
S0C93566	2731619
S0C84931	2731619
S0C209148	2731619
S0C222001	2731619
S0C181155	2731619
S0C218715	2731619
S0C94997	2731619
S0C176202	2731619
S0C204162	2731619
S0C169610	2731619
S0C152055	2731619
S0C111083	2731619
S0C47916	2731619
S0C46136	2731619
S0C70143	10501
S0C127630	2731619
S0C192127	2731619
S0C10159	2731619
S0C100447	2731619
S0C40189	2731619
S0C12710	2731619
S0C126144	2731619
S0C180532	2731619
S0C173642	2731619
S0C170348	2731619
S0C53091	2731619
S0C57156	2731619
S0C79614	2731619
S0C32850	2731619
S0C49696	2731619
