sample	tool	rank	n	correct	accuracy_percent
cami_i_hc	centrifuge	superkingdom	52441	3417	6.5159
cami_i_hc	centrifuge	phylum	52441	3340	6.3691
cami_i_hc	centrifuge	class	52441	3258	6.2127
cami_i_hc	centrifuge	order	52441	3216	6.1326
cami_i_hc	centrifuge	family	52441	3216	6.1326
cami_i_hc	centrifuge	genus	52441	3216	6.1326
cami_i_hc	centrifuge	species	52441	2918	5.5643
cami_i_hc	ganon2	superkingdom	3703	3703	100.0000
cami_i_hc	ganon2	phylum	3703	2990	80.7453
cami_i_hc	ganon2	class	3703	2917	78.7740
cami_i_hc	ganon2	order	3703	2877	77.6938
cami_i_hc	ganon2	family	3703	2877	77.6938
cami_i_hc	ganon2	genus	3703	2877	77.6938
cami_i_hc	ganon2	species	3703	2862	77.2887
cami_i_hc	hymet	superkingdom	32910	32910	100.0000
cami_i_hc	hymet	phylum	32910	32904	99.9818
cami_i_hc	hymet	class	32910	32892	99.9453
cami_i_hc	hymet	order	32910	32871	99.8815
cami_i_hc	hymet	family	32910	32606	99.0763
cami_i_hc	hymet	genus	32910	32475	98.6782
cami_i_hc	hymet	species	32910	30085	91.4160
cami_i_hc	kraken2	superkingdom	42090	41790	99.2872
cami_i_hc	kraken2	phylum	42090	41715	99.1091
cami_i_hc	kraken2	class	42090	41674	99.0116
cami_i_hc	kraken2	order	42090	41296	98.1136
cami_i_hc	kraken2	family	42090	41039	97.5030
cami_i_hc	kraken2	genus	42090	40889	97.1466
cami_i_hc	kraken2	species	42090	35341	83.9653
cami_i_hc	phabox	superkingdom	161	0	0.0000
cami_i_hc	phabox	phylum	161	0	0.0000
cami_i_hc	phabox	class	161	0	0.0000
cami_i_hc	phabox	order	161	0	0.0000
cami_i_hc	phabox	family	161	0	0.0000
cami_i_hc	phabox	genus	161	0	0.0000
cami_i_hc	phabox	species	161	0	0.0000
cami_i_lc	centrifuge	superkingdom	27145	910	3.3524
cami_i_lc	centrifuge	phylum	27145	859	3.1645
cami_i_lc	centrifuge	class	27145	782	2.8808
cami_i_lc	centrifuge	order	27145	782	2.8808
cami_i_lc	centrifuge	family	27145	536	1.9746
cami_i_lc	centrifuge	genus	27145	62	0.2284
cami_i_lc	centrifuge	species	27145	0	0.0000
cami_i_lc	ganon2	superkingdom	766	766	100.0000
cami_i_lc	ganon2	phylum	766	191	24.9347
cami_i_lc	ganon2	class	766	152	19.8433
cami_i_lc	ganon2	order	766	152	19.8433
cami_i_lc	ganon2	family	766	138	18.0157
cami_i_lc	ganon2	genus	766	4	0.5222
cami_i_lc	ganon2	species	766	0	0.0000
cami_i_lc	hymet	superkingdom	27071	27071	100.0000
cami_i_lc	hymet	phylum	27071	27068	99.9889
cami_i_lc	hymet	class	27071	27068	99.9889
cami_i_lc	hymet	order	27071	27029	99.8449
cami_i_lc	hymet	family	27071	27029	99.8449
cami_i_lc	hymet	genus	27071	26575	98.1678
cami_i_lc	hymet	species	27071	20177	74.5336
cami_i_lc	kraken2	superkingdom	25379	25307	99.7163
cami_i_lc	kraken2	phylum	25379	25281	99.6139
cami_i_lc	kraken2	class	25379	25257	99.5193
cami_i_lc	kraken2	order	25379	25159	99.1331
cami_i_lc	kraken2	family	25379	24965	98.3687
cami_i_lc	kraken2	genus	25379	24333	95.8785
cami_i_lc	kraken2	species	25379	17380	68.4818
cami_i_lc	phabox	superkingdom	495	0	0.0000
cami_i_lc	phabox	phylum	495	0	0.0000
cami_i_lc	phabox	class	495	0	0.0000
cami_i_lc	phabox	order	495	0	0.0000
cami_i_lc	phabox	family	495	0	0.0000
cami_i_lc	phabox	genus	495	40	8.0808
cami_i_lc	phabox	species	495	0	0.0000
cami_i_mc	centrifuge	superkingdom	35226	339	0.9624
cami_i_mc	centrifuge	phylum	35226	276	0.7835
cami_i_mc	centrifuge	class	35226	224	0.6359
cami_i_mc	centrifuge	order	35226	184	0.5223
cami_i_mc	centrifuge	family	35226	78	0.2214
cami_i_mc	centrifuge	genus	35226	7798	22.1371
cami_i_mc	centrifuge	species	35226	78	0.2214
cami_i_mc	ganon2	superkingdom	509	509	100.0000
cami_i_mc	ganon2	phylum	509	165	32.4165
cami_i_mc	ganon2	class	509	113	22.2004
cami_i_mc	ganon2	order	509	90	17.6817
cami_i_mc	ganon2	family	509	67	13.1631
cami_i_mc	ganon2	genus	509	108	21.2181
cami_i_mc	ganon2	species	509	67	13.1631
cami_i_mc	hymet	superkingdom	4406	4406	100.0000
cami_i_mc	hymet	phylum	4406	4400	99.8638
cami_i_mc	hymet	class	4406	4388	99.5915
cami_i_mc	hymet	order	4406	4361	98.9787
cami_i_mc	hymet	family	4406	4361	98.9787
cami_i_mc	hymet	genus	4406	4303	97.6623
cami_i_mc	hymet	species	4406	3956	89.7867
cami_i_mc	kraken2	superkingdom	33579	33522	99.8303
cami_i_mc	kraken2	phylum	33579	33509	99.7915
cami_i_mc	kraken2	class	33579	33493	99.7439
cami_i_mc	kraken2	order	33579	33390	99.4371
cami_i_mc	kraken2	family	33579	27610	82.2240
cami_i_mc	kraken2	genus	33579	27491	81.8696
cami_i_mc	kraken2	species	33579	19186	57.1369
cami_i_mc	phabox	superkingdom	822	0	0.0000
cami_i_mc	phabox	phylum	822	0	0.0000
cami_i_mc	phabox	class	822	0	0.0000
cami_i_mc	phabox	order	822	0	0.0000
cami_i_mc	phabox	family	822	0	0.0000
cami_i_mc	phabox	genus	822	131	15.9367
cami_i_mc	phabox	species	822	0	0.0000
cami_ii_marine	centrifuge	superkingdom	36082	161	0.4462
cami_ii_marine	centrifuge	phylum	36082	138	0.3825
cami_ii_marine	centrifuge	class	36082	109	0.3021
cami_ii_marine	centrifuge	order	36082	12	0.0333
cami_ii_marine	centrifuge	family	36082	0	0.0000
cami_ii_marine	centrifuge	genus	36082	5787	16.0385
cami_ii_marine	centrifuge	species	36082	0	0.0000
cami_ii_marine	ganon2	superkingdom	478	478	100.0000
cami_ii_marine	ganon2	phylum	478	123	25.7322
cami_ii_marine	ganon2	class	478	77	16.1088
cami_ii_marine	ganon2	order	478	2	0.4184
cami_ii_marine	ganon2	family	478	0	0.0000
cami_ii_marine	ganon2	genus	478	38	7.9498
cami_ii_marine	ganon2	species	478	0	0.0000
cami_ii_marine	hymet	superkingdom	32483	32483	100.0000
cami_ii_marine	hymet	phylum	32483	32483	100.0000
cami_ii_marine	hymet	class	32483	32460	99.9292
cami_ii_marine	hymet	order	32483	32418	99.7999
cami_ii_marine	hymet	family	32483	32418	99.7999
cami_ii_marine	hymet	genus	32483	30128	92.7501
cami_ii_marine	hymet	species	32483	28988	89.2405
cami_ii_marine	kraken2	superkingdom	23008	22968	99.8261
cami_ii_marine	kraken2	phylum	23008	22941	99.7088
cami_ii_marine	kraken2	class	23008	22890	99.4871
cami_ii_marine	kraken2	order	23008	22608	98.2615
cami_ii_marine	kraken2	family	23008	22550	98.0094
cami_ii_marine	kraken2	genus	23008	20129	87.4870
cami_ii_marine	kraken2	species	23008	17239	74.9261
cami_ii_mousegut	centrifuge	superkingdom	55830	8516	15.2534
cami_ii_mousegut	centrifuge	phylum	55830	8473	15.1764
cami_ii_mousegut	centrifuge	class	55830	8343	14.9436
cami_ii_mousegut	centrifuge	order	55830	8271	14.8146
cami_ii_mousegut	centrifuge	family	55830	8154	14.6051
