tool	rank	samples	mean_L1_total_variation_pctpts	mean_BrayCurtis_pct	mean_Precision_%	mean_Recall_%	mean_F1_%
centrifuge	class	7	92.8260	92.8261	50.24	45.95	46.14
centrifuge	family	7	95.4686	95.4686	31.19	18.02	22.40
centrifuge	genus	7	95.7104	95.8231	28.33	9.99	14.66
centrifuge	order	7	95.2246	95.2246	34.76	27.38	29.72
centrifuge	phylum	7	92.1577	92.1577	53.10	76.19	61.43
centrifuge	species	7	96.7841	96.7842	13.57	3.91	6.06
centrifuge	superkingdom	7	100.0000	100.0000	0.00	0.00	0.00
ganon2	class	7	48.3204	92.3689	83.33	49.52	60.55
ganon2	family	7	49.0331	93.7246	52.38	18.02	26.09
ganon2	genus	7	49.1958	94.2604	45.24	9.99	16.25
ganon2	order	7	48.9007	93.4687	66.67	30.24	40.11
ganon2	phylum	7	48.0998	91.9693	90.48	83.33	84.76
ganon2	species	7	50.6296	96.5794	23.81	3.91	6.70
ganon2	superkingdom	7	47.5302	90.8925	100.00	95.24	97.14
hymet	class	7	28.3507	28.3507	100.00	88.33	93.49
hymet	family	7	34.0889	34.0889	97.96	81.19	88.27
hymet	genus	7	46.0238	46.1190	89.45	68.95	76.75
hymet	order	7	30.7519	30.7519	97.62	88.69	92.51
hymet	phylum	7	11.2734	11.2734	100.00	91.67	95.10
hymet	species	7	51.7834	51.7835	62.59	62.00	60.18
hymet	superkingdom	7	52.1559	34.7712	71.43	95.24	80.95
kraken2	class	7	43.7768	77.1791	93.88	93.57	93.20
kraken2	family	7	44.4151	78.3001	87.28	81.11	82.86
kraken2	genus	7	45.4767	80.3130	78.69	63.62	67.68
kraken2	order	7	44.5243	78.5003	92.86	88.21	89.25
kraken2	phylum	7	43.7196	77.0784	92.86	90.48	91.02
kraken2	species	7	47.4374	83.6329	69.40	47.19	54.81
kraken2	superkingdom	7	47.1406	77.7365	43.81	95.24	58.50
metaphlan4	class	7	46.3695	86.2314	96.43	60.48	73.65
metaphlan4	family	7	44.0689	78.0956	92.04	79.76	84.31
metaphlan4	genus	7	45.9320	80.5006	74.67	83.04	75.90
metaphlan4	order	7	46.3866	86.2633	97.14	55.12	69.07
metaphlan4	phylum	7	42.9945	75.1883	94.29	95.24	93.57
metaphlan4	species	7	41.7227	64.7956	75.46	77.92	74.38
metaphlan4	superkingdom	7	48.9658	77.2735	71.43	95.24	80.95
sourmash_gather	class	7	50.0000	100.0000	0.00	0.00	0.00
sourmash_gather	family	7	50.0000	100.0000	0.00	0.00	0.00
sourmash_gather	genus	7	49.8864	100.0000	0.00	0.00	0.00
sourmash_gather	order	7	50.0000	100.0000	0.00	0.00	0.00
sourmash_gather	phylum	7	50.0000	100.0000	0.00	0.00	0.00
sourmash_gather	species	7	97.5653	97.5654	42.86	2.89	5.40
sourmash_gather	superkingdom	7	18.0582	18.0582	100.00	54.76	69.05
