sample	tool	stage	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb
cami_sample_0	hymet	run	185.280	174.970	29.460	7.950	43.157	0.656
cami_sample_0	hymet	eval	21.870	24.370	2.580	1.071	0.024	0.000
cami_sample_0	kraken2	run	43.730	17.150	21.150	11.165	19.869	0.073
cami_sample_0	kraken2	eval	14.290	14.870	1.770	0.926	0.001	0.000
cami_sample_0	centrifuge	run	99.540	228.220	1.220	0.305	0.074	0.022
cami_sample_0	centrifuge	eval	17.580	19.200	2.520	0.925	0.000	0.000
cami_sample_0	ganon2	run	3.400	21.290	0.680	0.182	0.081	0.001
cami_sample_0	ganon2	eval	13.300	13.800	1.820	0.925	0.000	0.000
cami_sample_0	sourmash_gather	run	8.080	12.680	1.200	0.787	0.000	0.004
cami_sample_0	sourmash_gather	eval	11.380	10.240	1.140	0.925	0.000	0.000
cami_sample_0	metaphlan4	run	167.700	365.440	60.150	18.756	30.030	0.007
cami_sample_0	metaphlan4	eval	11.510	10.390	1.120	0.926	0.000	0.000
cami_i_lc	hymet	run	71.450	70.180	6.320	1.682	3.738	0.118
cami_i_lc	hymet	eval	17.780	20.020	2.440	1.081	0.000	0.000
cami_i_lc	kraken2	run	41.450	4.450	20.010	10.947	19.869	0.017
cami_i_lc	kraken2	eval	12.630	12.970	1.630	0.925	0.000	0.000
cami_i_lc	centrifuge	run	14.250	28.670	0.560	0.160	0.074	0.003
cami_i_lc	centrifuge	eval	14.000	15.790	2.290	0.925	0.000	0.000
cami_i_lc	ganon2	run	1.580	7.610	0.320	0.088	0.081	0.000
cami_i_lc	ganon2	eval	12.280	13.070	1.660	0.925	0.000	0.000
cami_i_lc	sourmash_gather	run	4.680	9.370	1.110	0.755	0.000	0.001
cami_i_lc	sourmash_gather	eval	10.670	9.730	0.940	0.925	0.000	0.000
cami_i_lc	metaphlan4	run	148.680	207.430	66.960	18.756	30.030	0.002
cami_i_lc	metaphlan4	eval	10.730	9.660	1.060	0.925	0.000	0.000
cami_i_mc	hymet	run	67.660	65.490	5.880	1.686	3.380	0.126
cami_i_mc	hymet	eval	18.070	20.540	2.470	1.108	0.000	0.000
cami_i_mc	kraken2	run	42.010	4.420	19.980	10.937	19.868	0.014
cami_i_mc	kraken2	eval	12.430	13.120	1.640	0.926	0.000	0.000
cami_i_mc	centrifuge	run	1.750	5.460	0.560	0.084	0.074	0.003
cami_i_mc	centrifuge	eval	14.120	15.880	2.230	0.926	0.000	0.000
cami_i_mc	ganon2	run	1.790	9.280	0.300	0.088	0.081	0.000
cami_i_mc	ganon2	eval	12.340	12.700	1.700	0.925	0.000	0.000
cami_i_mc	sourmash_gather	run	4.620	9.050	1.100	0.786	0.000	0.001
cami_i_mc	sourmash_gather	eval	10.520	9.520	0.990	0.925	0.000	0.000
