sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_i_hc	centrifuge	superkingdom	100.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_i_hc	centrifuge	phylum	87.4481	87.4481	50.00	50.00	50.00	2	2	2
cami_i_hc	centrifuge	class	87.4481	87.4481	50.00	40.00	44.44	2	2	3
cami_i_hc	centrifuge	order	91.1782	91.1782	50.00	25.00	33.33	2	2	6
cami_i_hc	centrifuge	family	91.1782	91.1782	50.00	22.22	30.77	2	2	7
cami_i_hc	centrifuge	genus	91.1782	91.1782	50.00	15.38	23.53	2	2	11
cami_i_hc	centrifuge	species	91.5230	91.5229	25.00	7.14	11.11	1	3	13
cami_i_hc	ganon2	superkingdom	46.6105	87.2404	100.00	100.00	100.00	2	0	0
cami_i_hc	ganon2	phylum	46.6944	87.3974	100.00	50.00	66.67	2	0	2
cami_i_hc	ganon2	class	46.6944	87.3974	100.00	40.00	57.14	2	0	3
cami_i_hc	ganon2	order	46.6944	87.3974	100.00	25.00	40.00	2	0	6
cami_i_hc	ganon2	family	46.6944	87.3974	100.00	22.22	36.36	2	0	7
cami_i_hc	ganon2	genus	46.6944	87.3974	100.00	15.38	26.67	2	0	11
cami_i_hc	ganon2	species	47.2932	88.5181	50.00	7.14	12.50	1	1	13
cami_i_hc	hymet	superkingdom	55.8484	37.2323	6.45	100.00	12.12	2	29	0
cami_i_hc	hymet	phylum	100.0000	100.0000	0.00	0.00	0.00	0	29	4
cami_i_hc	hymet	class	100.0000	100.0000	0.00	0.00	0.00	0	29	5
cami_i_hc	hymet	order	100.0000	100.0000	0.00	0.00	0.00	0	29	8
cami_i_hc	hymet	family	100.0000	100.0000	0.00	0.00	0.00	0	29	9
cami_i_hc	hymet	genus	100.0001	100.0000	0.00	0.00	0.00	0	29	13
cami_i_hc	hymet	species	69.2532	69.2532	20.69	42.86	27.91	6	23	8
cami_i_hc	kraken2	superkingdom	45.8181	77.6289	40.00	100.00	57.14	2	3	0
cami_i_hc	kraken2	phylum	43.4370	76.6930	100.00	100.00	100.00	4	0	0
cami_i_hc	kraken2	class	43.4288	76.7008	100.00	100.00	100.00	5	0	0
cami_i_hc	kraken2	order	43.4263	76.7313	100.00	87.50	93.33	7	0	1
cami_i_hc	kraken2	family	43.4801	76.8703	100.00	88.89	94.12	8	0	1
cami_i_hc	kraken2	genus	43.6874	77.0425	90.00	69.23	78.26	9	1	4
cami_i_hc	kraken2	species	46.6751	80.6250	64.29	64.29	64.29	9	5	5
cami_i_hc	metaphlan4	superkingdom	150.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_i_hc	metaphlan4	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	4
cami_i_hc	metaphlan4	class	50.0000	100.0000	0.00	0.00	0.00	0	0	5
cami_i_hc	metaphlan4	order	50.0001	100.0000	0.00	0.00	0.00	0	0	8
cami_i_hc	metaphlan4	family	50.0000	100.0000	0.00	0.00	0.00	0	0	9
cami_i_hc	metaphlan4	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	13
cami_i_hc	metaphlan4	species	50.0001	100.0000	0.00	0.00	0.00	0	0	14
cami_i_hc	sourmash_gather	superkingdom	13.1786	13.1786	100.00	50.00	66.67	1	0	1
cami_i_hc	sourmash_gather	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	4
cami_i_hc	sourmash_gather	class	50.0000	100.0000	0.00	0.00	0.00	0	0	5
cami_i_hc	sourmash_gather	order	50.0001	100.0000	0.00	0.00	0.00	0	0	8
cami_i_hc	sourmash_gather	family	50.0000	100.0000	0.00	0.00	0.00	0	0	9
cami_i_hc	sourmash_gather	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	13
cami_i_hc	sourmash_gather	species	91.5229	91.5229	100.00	7.14	13.33	1	0	13
cami_i_lc	centrifuge	superkingdom	100.0000	100.0000	0.00	0.00	0.00	0	1	2
cami_i_lc	centrifuge	phylum	92.8531	92.8531	40.00	100.00	57.14	2	3	0
cami_i_lc	centrifuge	class	97.5127	97.5127	20.00	50.00	28.57	1	4	1
cami_i_lc	centrifuge	order	97.5127	97.5127	20.00	33.33	25.00	1	4	2
