tool	rank	samples	mean_L1_total_variation_pctpts	mean_BrayCurtis_pct	mean_Precision_%	mean_Recall_%	mean_F1_%
basta	class	7	47.9954	92.1800	92.86	47.14	61.66
basta	family	7	45.2753	81.0523	78.10	44.13	55.36
basta	genus	7	48.0853	84.4836	60.71	20.88	30.60
basta	order	7	46.5478	86.0335	84.29	46.31	57.40
basta	phylum	7	49.0022	96.1004	100.00	67.86	78.10
basta	species	7	77.4958	97.8676	22.38	5.10	8.20
basta	superkingdom	7	49.0022	96.1004	100.00	80.95	87.62
camitax	class	7	46.4286	88.5714	28.57	10.71	15.24
camitax	family	7	50.0000	100.0000	0.00	0.00	0.00
camitax	genus	7	49.8865	100.0000	0.00	0.00	0.00
camitax	order	7	47.8945	90.9170	28.57	7.14	11.22
camitax	phylum	7	32.1429	50.4762	85.71	34.52	48.57
camitax	species	7	49.9999	100.0000	0.00	0.00	0.00
camitax	superkingdom	7	53.5714	59.5238	50.00	47.62	48.57
centrifuge	class	7	53.4627	83.8570	88.10	38.81	53.40
centrifuge	family	7	56.1751	88.5571	73.81	18.02	28.83
centrifuge	genus	7	57.5756	91.2055	59.52	9.99	16.88
centrifuge	order	7	53.5800	84.0217	80.95	27.38	40.63
centrifuge	phylum	7	53.4546	83.8428	88.10	57.14	68.10
centrifuge	species	7	64.4314	95.8489	22.62	3.91	6.65
centrifuge	superkingdom	7	56.1469	82.2816	54.76	59.52	56.67
ganon2	class	7	48.3204	92.3689	83.33	49.52	60.55
ganon2	family	7	49.0331	93.7246	52.38	18.02	26.09
ganon2	genus	7	49.1958	94.2604	45.24	9.99	16.25
ganon2	order	7	48.9007	93.4687	66.67	30.24	40.11
ganon2	phylum	7	48.0998	91.9693	90.48	83.33	84.76
ganon2	species	7	50.6296	96.5794	23.81	3.91	6.70
ganon2	superkingdom	7	47.5302	90.8925	100.00	95.24	97.14
hymet	class	7	28.3507	28.3507	100.00	88.33	93.49
hymet	family	7	34.0889	34.0889	97.96	81.19	88.27
hymet	genus	7	46.0238	46.1190	89.45	68.95	76.75
hymet	order	7	30.7519	30.7519	97.62	88.69	92.51
hymet	phylum	7	11.2734	11.2734	100.00	91.67	95.10
hymet	species	7	51.7834	51.7835	62.59	62.00	60.18
hymet	superkingdom	7	52.1559	34.7712	71.43	95.24	80.95
kraken2	class	7	43.7768	77.1791	93.88	93.57	93.20
kraken2	family	7	44.4151	78.3001	87.28	81.11	82.86
kraken2	genus	7	45.4767	80.3130	78.69	63.62	67.68
kraken2	order	7	44.5243	78.5003	92.86	88.21	89.25
kraken2	phylum	7	43.7196	77.0784	92.86	90.48	91.02
kraken2	species	7	47.4374	83.6329	69.40	47.19	54.81
kraken2	superkingdom	7	47.1406	77.7365	43.81	95.24	58.50
megapath_nano	class	7	43.3642	75.8873	96.43	81.90	88.27
megapath_nano	family	7	43.9466	76.9065	92.76	72.86	80.79
megapath_nano	genus	7	44.5358	78.1230	85.95	50.86	62.38
megapath_nano	order	7	44.1716	77.3002	95.24	76.43	83.91
megapath_nano	phylum	7	43.3575	75.8757	95.24	86.91	90.34
megapath_nano	species	7	48.3372	84.5902	45.63	25.54	32.19
megapath_nano	superkingdom	7	47.9596	76.9849	76.19	95.24	83.81
metaphlan4	class	7	46.3695	86.2314	96.43	60.48	73.65
metaphlan4	family	7	44.0689	78.0956	92.04	79.76	84.31
metaphlan4	genus	7	45.9320	80.5006	74.67	83.04	75.90
metaphlan4	order	7	46.3866	86.2633	97.14	55.12	69.07
metaphlan4	phylum	7	42.9945	75.1883	94.29	95.24	93.57
metaphlan4	species	7	41.7227	64.7956	75.46	77.92	74.38
metaphlan4	superkingdom	7	48.9658	77.2735	71.43	95.24	80.95
phabox	class	7	61.8985	100.0000	0.00	0.00	0.00
phabox	family	7	53.7740	100.0000	0.00	0.00	0.00
phabox	genus	7	54.9248	100.0000	0.00	0.00	0.00
phabox	order	7	53.0505	100.0000	0.00	0.00	0.00
phabox	phylum	7	61.9529	100.0000	0.00	0.00	0.00
phabox	species	7	49.9999	100.0000	0.00	0.00	0.00
phabox	superkingdom	7	61.9529	100.0000	0.00	0.00	0.00
phyloflash	class	7	48.4303	94.2249	42.86	13.81	20.41
phyloflash	family	7	45.6988	84.5052	85.71	23.09	35.66
phyloflash	genus	7	52.8253	63.4480	71.57	46.65	48.91
phyloflash	order	7	48.4534	93.9219	42.86	11.31	17.46
phyloflash	phylum	7	50.0000	100.0000	0.00	0.00	0.00
phyloflash	species	7	54.6867	92.6747	27.58	11.57	16.10
phyloflash	superkingdom	7	39.6490	71.2498	100.00	54.76	69.05
snakemags	class	7	44.5446	81.0886	71.43	21.67	32.24
snakemags	family	7	44.5742	81.1398	71.43	17.94	27.61
snakemags	genus	7	46.9841	86.5059	65.71	14.01	21.86
snakemags	order	7	45.2536	82.3175	66.67	23.21	32.18
snakemags	phylum	7	44.5446	81.0886	71.43	25.00	36.67
snakemags	species	7	48.8966	91.4934	35.71	8.84	14.14
snakemags	superkingdom	7	48.9012	82.8621	42.86	40.48	41.43
sourmash_gather	class	7	44.8979	78.5714	85.71	20.00	32.18
sourmash_gather	family	7	54.7083	95.7395	42.86	5.40	9.54
sourmash_gather	genus	7	54.5947	95.7375	42.86	4.07	7.41
sourmash_gather	order	7	54.7083	95.7395	42.86	6.55	11.34
sourmash_gather	phylum	7	42.8571	75.0000	100.00	39.28	55.72
sourmash_gather	species	7	54.7082	95.7395	42.86	2.89	5.40
sourmash_gather	superkingdom	7	48.9796	77.3810	57.14	54.76	55.71
squeezemeta	class	7	50.0000	100.0000	0.00	0.00	0.00
squeezemeta	family	7	50.0000	100.0000	0.00	0.00	0.00
squeezemeta	genus	7	49.8864	100.0000	0.00	0.00	0.00
squeezemeta	order	7	50.0000	100.0000	0.00	0.00	0.00
squeezemeta	phylum	7	50.0000	100.0000	0.00	0.00	0.00
squeezemeta	species	7	49.9999	100.0000	0.00	0.00	0.00
squeezemeta	superkingdom	7	50.0000	100.0000	0.00	0.00	0.00
tama	class	7	43.1964	75.5692	97.62	81.19	87.37
tama	family	7	43.8088	76.6414	90.00	60.95	69.69
tama	genus	7	45.0045	79.0980	83.48	46.97	55.31
tama	order	7	43.7966	76.6192	96.43	74.41	81.60
tama	phylum	7	43.1294	75.4519	96.43	88.10	90.34
tama	species	7	45.4264	79.4707	79.52	40.14	50.81
tama	superkingdom	7	48.9774	77.3346	69.05	88.10	76.67
viwrap	class	5	74.5074	100.0000	0.00	0.00	0.00
viwrap	family	5	50.6073	100.0000	0.00	0.00	0.00
viwrap	genus	5	49.8411	100.0000	0.00	0.00	0.00
viwrap	order	5	50.3779	100.0000	0.00	0.00	0.00
viwrap	phylum	5	74.5074	100.0000	0.00	0.00	0.00
viwrap	species	5	49.9999	100.0000	0.00	0.00	0.00
viwrap	superkingdom	5	74.5074	100.0000	0.00	0.00	0.00
