sample	tool	stage	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb
cami_sample_0	squeezemeta	run	0.100	0.060	0.040	0.013	0.000	0.000
cami_sample_0	squeezemeta	eval	11.630	10.490	1.140	0.926	0.000	0.000
cami_i_lc	basta	run	37.950	160.130	3.040	1.192	0.019	0.129
cami_i_lc	basta	eval	0.070	0.040	0.030	0.008	0.000	0.000
cami_i_lc	basta	eval	12.740	13.420	1.720	0.925	0.000	0.000
cami_i_lc	squeezemeta	run	162.920	328.870	6.420	1.061	0.000	0.939
cami_i_lc	squeezemeta	eval	10.770	9.760	1.010	0.925	0.000	0.000
cami_i_mc	squeezemeta	run	0.140	0.070	0.070	0.013	0.000	0.000
cami_i_mc	squeezemeta	eval	10.580	9.580	0.990	0.926	0.004	0.000
cami_i_hc	squeezemeta	run	0.120	0.060	0.060	0.013	0.000	0.000
cami_i_hc	squeezemeta	eval	11.260	9.860	1.050	0.926	0.006	0.000
cami_ii_mousegut	squeezemeta	run	0.190	0.060	0.020	0.013	0.000	0.000
cami_ii_mousegut	squeezemeta	eval	12.110	10.460	1.030	0.925	0.006	0.000
cami_ii_marine	squeezemeta	run	0.080	0.050	0.020	0.013	0.000	0.000
cami_ii_marine	squeezemeta	eval	13.570	11.430	1.080	0.925	0.004	0.000
cami_ii_strainmadness	squeezemeta	run	0.190	0.050	0.030	0.013	0.000	0.000
cami_ii_strainmadness	squeezemeta	eval	15.160	12.380	1.120	0.925	0.002	0.000
cami_sample_0	basta	run	275.770	757.950	5.670	2.283	0.128	0.863
cami_sample_0	basta	eval	11.120	10.070	1.040	0.926	0.000	0.000
cami_i_lc	basta	run	32.360	156.760	2.960	1.189	0.004	0.131
cami_i_lc	basta	eval	10.180	9.220	0.950	0.926	0.000	0.000
cami_i_mc	basta	run	26.530	145.470	2.880	1.084	0.001	0.176
cami_i_mc	basta	eval	10.800	9.870	0.920	0.926	0.000	0.000
cami_i_hc	basta	run	317.530	524.500	76.880	1.132	0.033	0.242
cami_i_hc	basta	eval	10.630	9.650	0.980	0.926	0.000	0.000
cami_ii_mousegut	basta	run	20.270	99.060	2.640	1.137	0.006	0.170
cami_ii_mousegut	basta	eval	10.790	9.840	0.950	0.926	0.000	0.000
cami_ii_marine	basta	run	17.160	77.170	2.400	1.105	0.000	0.091
cami_ii_marine	basta	eval	10.870	9.830	1.030	0.925	0.000	0.000
cami_ii_strainmadness	basta	run	16.130	71.020	2.280	1.154	0.000	0.051
cami_ii_strainmadness	basta	eval	10.540	9.550	0.990	0.926	0.000	0.000
cami_i_hc	camitax	run	0.09	0.04	0.04	0.008	0.0	0.0
cami_i_hc	camitax	eval	13.99	10.16	1.62	0.925	2.265	0.0
cami_i_lc	camitax	run	0.09	0.05	0.03	0.008	0.0	0.0
cami_i_lc	camitax	eval	14.12	10.33	1.58	0.925	2.208	0.0
cami_i_mc	camitax	run	0.08	0.04	0.03	0.008	0.0	0.0
cami_i_mc	camitax	eval	13.83	10.29	1.59	0.925	2.278	0.0
cami_ii_marine	camitax	run	0.09	0.04	0.04	0.008	0.0	0.0
