tool	rank	samples	mean_L1_total_variation_pctpts	mean_BrayCurtis_pct	mean_Precision_%	mean_Recall_%	mean_F1_%
ganon2	class	7	48.3204	92.3689	83.33	49.52	60.55
ganon2	family	7	49.0331	93.7246	52.38	18.02	26.09
ganon2	genus	7	49.1958	94.2604	45.24	9.99	16.25
ganon2	order	7	48.9007	93.4687	66.67	30.24	40.11
ganon2	phylum	7	48.0998	91.9693	90.48	83.33	84.76
ganon2	species	7	50.6296	96.5794	23.81	3.91	6.70
ganon2	superkingdom	7	47.5302	90.8925	100.00	95.24	97.14
hymet	class	7	27.1082	27.1082	95.24	96.43	95.36
hymet	family	7	31.7443	31.7443	89.58	90.79	89.44
hymet	genus	7	41.6879	41.7913	82.02	82.72	80.77
hymet	order	7	27.7541	27.7541	95.24	97.62	95.84
hymet	phylum	7	12.3833	12.3833	93.57	95.24	93.51
hymet	species	7	49.2748	49.2749	50.35	71.27	56.89
hymet	superkingdom	7	51.8656	34.5790	69.05	95.24	79.05
hymet_reads	class	7	53.7259	53.7259	57.14	74.29	62.86
hymet_reads	family	7	58.0434	58.0434	42.85	73.97	52.86
hymet_reads	genus	7	79.3236	79.3778	25.71	61.96	36.05
hymet_reads	order	7	56.6842	56.6842	68.57	70.95	67.62
hymet_reads	phylum	7	16.7642	16.7642	50.00	78.57	60.20
hymet_reads	species	7	93.3171	93.3172	16.45	41.06	23.07
hymet_reads	superkingdom	7	58.2905	38.9269	39.05	95.24	55.10
kraken2	class	7	43.7768	77.1791	93.88	93.57	93.20
kraken2	family	7	44.4151	78.3001	87.28	81.11	82.86
kraken2	genus	7	45.4767	80.3130	78.69	63.62	67.68
kraken2	order	7	44.5243	78.5003	92.86	88.21	89.25
kraken2	phylum	7	43.7196	77.0784	92.86	90.48	91.02
kraken2	species	7	47.4374	83.6329	69.40	47.19	54.81
kraken2	superkingdom	7	47.1406	77.7365	43.81	95.24	58.50
squeezemeta	class	7	50.0000	100.0000	0.00	0.00	0.00
squeezemeta	family	7	50.0000	100.0000	0.00	0.00	0.00
squeezemeta	genus	7	49.8864	100.0000	0.00	0.00	0.00
squeezemeta	order	7	50.0000	100.0000	0.00	0.00	0.00
squeezemeta	phylum	7	50.0000	100.0000	0.00	0.00	0.00
squeezemeta	species	7	49.9999	100.0000	0.00	0.00	0.00
squeezemeta	superkingdom	7	50.0000	100.0000	0.00	0.00	0.00
