sample	tool	rank	n	correct	accuracy_percent
cami_i_hc	ganon2	superkingdom	3703	3156	85.2282
cami_i_hc	ganon2	phylum	3703	2990	80.7453
cami_i_hc	ganon2	class	3703	2917	78.7740
cami_i_hc	ganon2	order	3703	2877	77.6938
cami_i_hc	ganon2	family	3703	2877	77.6938
cami_i_hc	ganon2	genus	3703	2877	77.6938
cami_i_hc	ganon2	species	3703	2862	77.2887
cami_i_hc	hymet	superkingdom	52201	52144	99.8908
cami_i_hc	hymet	phylum	52201	52144	99.8908
cami_i_hc	hymet	class	52201	52143	99.8889
cami_i_hc	hymet	order	52201	52143	99.8889
cami_i_hc	hymet	family	52201	51982	99.5805
cami_i_hc	hymet	genus	52201	51963	99.5441
cami_i_hc	hymet	species	52201	41836	80.1441
cami_i_hc	kraken2	superkingdom	42090	41790	99.2872
cami_i_hc	kraken2	phylum	42090	41715	99.1091
cami_i_hc	kraken2	class	42090	41674	99.0116
cami_i_hc	kraken2	order	42090	41296	98.1136
cami_i_hc	kraken2	family	42090	41039	97.5030
cami_i_hc	kraken2	genus	42090	40889	97.1466
cami_i_hc	kraken2	species	42090	35341	83.9653
cami_i_lc	ganon2	superkingdom	766	368	48.0418
cami_i_lc	ganon2	phylum	766	191	24.9347
cami_i_lc	ganon2	class	766	152	19.8433
cami_i_lc	ganon2	order	766	152	19.8433
cami_i_lc	ganon2	family	766	138	18.0157
cami_i_lc	ganon2	genus	766	4	0.5222
cami_i_lc	ganon2	species	766	0	0.0000
cami_i_lc	hymet	superkingdom	27075	27070	99.9815
cami_i_lc	hymet	phylum	27075	27066	99.9668
cami_i_lc	hymet	class	27075	27066	99.9668
cami_i_lc	hymet	order	27075	27036	99.8560
cami_i_lc	hymet	family	27075	27011	99.7636
cami_i_lc	hymet	genus	27075	26549	98.0572
cami_i_lc	hymet	species	27075	20151	74.4266
cami_i_lc	kraken2	superkingdom	25379	25307	99.7163
cami_i_lc	kraken2	phylum	25379	25281	99.6139
cami_i_lc	kraken2	class	25379	25257	99.5193
cami_i_lc	kraken2	order	25379	25159	99.1331
cami_i_lc	kraken2	family	25379	24965	98.3687
cami_i_lc	kraken2	genus	25379	24333	95.8785
cami_i_lc	kraken2	species	25379	17380	68.4818
cami_i_mc	ganon2	superkingdom	509	268	52.6523
cami_i_mc	ganon2	phylum	509	165	32.4165
cami_i_mc	ganon2	class	509	113	22.2004
cami_i_mc	ganon2	order	509	90	17.6817
cami_i_mc	ganon2	family	509	67	13.1631
cami_i_mc	ganon2	genus	509	108	21.2181
cami_i_mc	ganon2	species	509	67	13.1631
cami_i_mc	hymet	superkingdom	33371	33370	99.9970
cami_i_mc	hymet	phylum	33371	33370	99.9970
cami_i_mc	hymet	class	33371	33367	99.9880
cami_i_mc	hymet	order	33371	33314	99.8292
cami_i_mc	hymet	family	33371	27559	82.5837
cami_i_mc	hymet	genus	33371	27440	82.2271
cami_i_mc	hymet	species	33371	19325	57.9096
cami_i_mc	kraken2	superkingdom	33579	33522	99.8303
cami_i_mc	kraken2	phylum	33579	33509	99.7915
cami_i_mc	kraken2	class	33579	33493	99.7439
cami_i_mc	kraken2	order	33579	33390	99.4371
cami_i_mc	kraken2	family	33579	27610	82.2240
cami_i_mc	kraken2	genus	33579	27491	81.8696
cami_i_mc	kraken2	species	33579	19186	57.1369
cami_ii_marine	ganon2	superkingdom	478	243	50.8368
cami_ii_marine	ganon2	phylum	478	123	25.7322
cami_ii_marine	ganon2	class	478	77	16.1088
cami_ii_marine	ganon2	order	478	2	0.4184
cami_ii_marine	ganon2	family	478	0	0.0000
cami_ii_marine	ganon2	genus	478	38	7.9498
cami_ii_marine	ganon2	species	478	0	0.0000
cami_ii_marine	hymet	superkingdom	32629	32602	99.9173
cami_ii_marine	hymet	phylum	32629	32600	99.9111
cami_ii_marine	hymet	class	32629	32570	99.8192
cami_ii_marine	hymet	order	32629	32501	99.6077
cami_ii_marine	hymet	family	32629	32501	99.6077
cami_ii_marine	hymet	genus	32629	30125	92.3258
cami_ii_marine	hymet	species	32629	28986	88.8351
cami_ii_marine	kraken2	superkingdom	23008	22968	99.8261
cami_ii_marine	kraken2	phylum	23008	22941	99.7088
cami_ii_marine	kraken2	class	23008	22890	99.4871
cami_ii_marine	kraken2	order	23008	22608	98.2615
cami_ii_marine	kraken2	family	23008	22550	98.0094
cami_ii_marine	kraken2	genus	23008	20129	87.4870
cami_ii_marine	kraken2	species	23008	17239	74.9261
cami_ii_mousegut	ganon2	superkingdom	8833	1013	11.4684
cami_ii_mousegut	ganon2	phylum	8833	439	4.9700
cami_ii_mousegut	ganon2	class	8833	331	3.7473
cami_ii_mousegut	ganon2	order	8833	277	3.1360
cami_ii_mousegut	ganon2	family	8833	243	2.7510
cami_ii_mousegut	ganon2	genus	8833	243	2.7510
cami_ii_mousegut	ganon2	species	8833	178	2.0152
cami_ii_mousegut	hymet	superkingdom	40233	40233	100.0000
cami_ii_mousegut	hymet	phylum	40233	40228	99.9876
cami_ii_mousegut	hymet	class	40233	40213	99.9503
cami_ii_mousegut	hymet	order	40233	40213	99.9503
cami_ii_mousegut	hymet	family	40233	40113	99.7017
cami_ii_mousegut	hymet	genus	40233	35744	88.8425
cami_ii_mousegut	hymet	species	40233	35641	88.5865
cami_ii_mousegut	kraken2	superkingdom	50022	49980	99.9160
cami_ii_mousegut	kraken2	phylum	50022	49957	99.8701
cami_ii_mousegut	kraken2	class	50022	49729	99.4143
cami_ii_mousegut	kraken2	order	50022	49729	99.4143
cami_ii_mousegut	kraken2	family	50022	44824	89.6086
cami_ii_mousegut	kraken2	genus	50022	40318	80.6005
cami_ii_mousegut	kraken2	species	50022	33697	67.3644
cami_ii_strainmadness	ganon2	superkingdom	365	166	45.4795
cami_ii_strainmadness	ganon2	phylum	365	85	23.2877
cami_ii_strainmadness	ganon2	class	365	73	20.0000
cami_ii_strainmadness	ganon2	order	365	17	4.6575
cami_ii_strainmadness	ganon2	family	365	13	3.5616
cami_ii_strainmadness	ganon2	genus	365	27	7.3973
cami_ii_strainmadness	ganon2	species	365	0	0.0000
cami_ii_strainmadness	hymet	superkingdom	17714	17705	99.9492
cami_ii_strainmadness	hymet	phylum	17714	17705	99.9492
cami_ii_strainmadness	hymet	class	17714	17697	99.9040
cami_ii_strainmadness	hymet	order	17714	17697	99.9040
cami_ii_strainmadness	hymet	family	17714	17697	99.9040
cami_ii_strainmadness	hymet	genus	17714	17523	98.9218
cami_ii_strainmadness	hymet	species	17714	14486	81.7771
cami_ii_strainmadness	kraken2	superkingdom	14792	14769	99.8445
cami_ii_strainmadness	kraken2	phylum	14792	14760	99.7837
cami_ii_strainmadness	kraken2	class	14792	14742	99.6620
cami_ii_strainmadness	kraken2	order	14792	14731	99.5876
cami_ii_strainmadness	kraken2	family	14792	14673	99.1955
cami_ii_strainmadness	kraken2	genus	14792	14355	97.0457
cami_ii_strainmadness	kraken2	species	14792	13795	93.2599
cami_sample_0	ganon2	superkingdom	14654	5214	35.5807
cami_sample_0	ganon2	phylum	14654	3993	27.2485
cami_sample_0	ganon2	class	14654	3663	24.9966
cami_sample_0	ganon2	order	14654	3415	23.3042
cami_sample_0	ganon2	family	14654	3338	22.7788
cami_sample_0	ganon2	genus	14654	3297	22.4990
cami_sample_0	ganon2	species	14654	3107	21.2024
cami_sample_0	hymet	superkingdom	169392	169312	99.9528
cami_sample_0	hymet	phylum	169392	169286	99.9374
cami_sample_0	hymet	class	169392	169122	99.8406
cami_sample_0	hymet	order	169392	168774	99.6352
cami_sample_0	hymet	family	169392	162125	95.7100
cami_sample_0	hymet	genus	169392	156105	92.1561
cami_sample_0	hymet	species	169392	138302	81.6461
cami_sample_0	kraken2	superkingdom	188870	188336	99.7173
cami_sample_0	kraken2	phylum	188870	188163	99.6257
cami_sample_0	kraken2	class	188870	187785	99.4255
cami_sample_0	kraken2	order	188870	186913	98.9638
cami_sample_0	kraken2	family	188870	175661	93.0063
cami_sample_0	kraken2	genus	188870	167515	88.6933
cami_sample_0	kraken2	species	188870	136638	72.3450
