sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_i_hc	ganon2	superkingdom	46.6105	87.2404	100.00	100.00	100.00	2	0	0
cami_i_hc	ganon2	phylum	46.6944	87.3974	100.00	50.00	66.67	2	0	2
cami_i_hc	ganon2	class	46.6944	87.3974	100.00	40.00	57.14	2	0	3
cami_i_hc	ganon2	order	46.6944	87.3974	100.00	25.00	40.00	2	0	6
cami_i_hc	ganon2	family	46.6944	87.3974	100.00	22.22	36.36	2	0	7
cami_i_hc	ganon2	genus	46.6944	87.3974	100.00	15.38	26.67	2	0	11
cami_i_hc	ganon2	species	47.2932	88.5181	50.00	7.14	12.50	1	1	13
cami_i_hc	hymet	superkingdom	55.9207	37.2804	50.00	100.00	66.67	2	2	0
cami_i_hc	hymet	phylum	6.0338	6.0338	80.00	100.00	88.89	4	1	0
cami_i_hc	hymet	class	23.0881	23.0881	83.33	100.00	90.91	5	1	0
cami_i_hc	hymet	order	23.0880	23.0880	100.00	100.00	100.00	8	0	0
cami_i_hc	hymet	family	23.0881	23.0881	100.00	100.00	100.00	9	0	0
cami_i_hc	hymet	genus	28.3895	28.3895	100.00	84.62	91.67	11	0	2
cami_i_hc	hymet	species	43.2538	43.2538	32.35	78.57	45.83	11	23	3
cami_i_hc	hymet_reads	superkingdom	60.0293	40.0626	40.00	100.00	57.14	2	3	0
cami_i_hc	hymet_reads	phylum	16.0475	16.0475	50.00	50.00	50.00	2	2	2
cami_i_hc	hymet_reads	class	58.6214	58.6214	60.00	60.00	60.00	3	2	2
cami_i_hc	hymet_reads	order	67.0319	67.0319	80.00	50.00	61.54	4	1	4
cami_i_hc	hymet_reads	family	69.6979	69.6979	45.45	55.56	50.00	5	6	4
cami_i_hc	hymet_reads	genus	84.5457	84.5457	32.00	61.54	42.11	8	17	5
cami_i_hc	hymet_reads	species	94.8679	94.8678	21.21	50.00	29.79	7	26	7
cami_i_hc	kraken2	superkingdom	44.4779	76.2762	40.00	100.00	57.14	2	3	0
cami_i_hc	kraken2	phylum	43.0970	75.7008	100.00	100.00	100.00	4	0	0
cami_i_hc	kraken2	class	43.0977	75.7029	100.00	100.00	100.00	5	0	0
cami_i_hc	kraken2	order	43.0832	75.6949	100.00	87.50	93.33	7	0	1
cami_i_hc	kraken2	family	43.1026	75.7253	100.00	88.89	94.12	8	0	1
cami_i_hc	kraken2	genus	43.2684	75.8179	90.00	69.23	78.26	9	1	4
cami_i_hc	kraken2	species	43.5472	76.4831	100.00	64.29	78.26	9	0	5
cami_i_hc	squeezemeta	superkingdom	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_i_hc	squeezemeta	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	4
cami_i_hc	squeezemeta	class	50.0000	100.0000	0.00	0.00	0.00	0	0	5
cami_i_hc	squeezemeta	order	50.0001	100.0000	0.00	0.00	0.00	0	0	8
cami_i_hc	squeezemeta	family	50.0000	100.0000	0.00	0.00	0.00	0	0	9
cami_i_hc	squeezemeta	genus	50.0001	100.0000	0.00	0.00	0.00	0	0	13
cami_i_hc	squeezemeta	species	50.0001	100.0000	0.00	0.00	0.00	0	0	14
cami_i_lc	ganon2	superkingdom	48.7475	95.0577	100.00	100.00	100.00	2	0	0
cami_i_lc	ganon2	phylum	48.7990	95.1582	100.00	100.00	100.00	2	0	0
cami_i_lc	ganon2	class	49.3479	96.2286	50.00	50.00	50.00	1	1	1
cami_i_lc	ganon2	order	49.3480	96.2286	50.00	33.33	40.00	1	1	2
cami_i_lc	ganon2	family	49.3480	96.2286	50.00	20.00	28.57	1	1	4
cami_i_lc	ganon2	genus	51.2820	100.0000	0.00	0.00	0.00	0	2	8
cami_i_lc	ganon2	species	51.2820	100.0000	0.00	0.00	0.00	0	2	8
cami_i_lc	hymet	superkingdom	81.3628	54.2426	66.67	100.00	80.00	2	1	0
cami_i_lc	hymet	phylum	31.3647	31.3647	100.00	100.00	100.00	2	0	0
cami_i_lc	hymet	class	31.3647	31.3647	100.00	100.00	100.00	2	0	0
cami_i_lc	hymet	order	31.3647	31.3647	100.00	100.00	100.00	3	0	0
cami_i_lc	hymet	family	33.4660	33.4660	100.00	100.00	100.00	5	0	0
cami_i_lc	hymet	genus	46.0631	46.0631	85.71	75.00	80.00	6	1	2
cami_i_lc	hymet	species	47.4376	47.4376	50.00	75.00	60.00	6	6	2
cami_i_lc	hymet_reads	superkingdom	73.9391	49.3457	40.00	100.00	57.14	2	3	0
cami_i_lc	hymet_reads	phylum	24.1335	24.1335	50.00	100.00	66.67	2	2	0
cami_i_lc	hymet_reads	class	93.8680	93.8680	40.00	100.00	57.14	2	3	0
cami_i_lc	hymet_reads	order	93.8903	93.8903	60.00	100.00	75.00	3	2	0
cami_i_lc	hymet_reads	family	96.0120	96.0120	45.45	100.00	62.50	5	6	0
cami_i_lc	hymet_reads	genus	97.5117	97.5117	24.00	75.00	36.36	6	19	2
cami_i_lc	hymet_reads	species	98.4448	98.4448	12.12	50.00	19.51	4	29	4
cami_i_lc	kraken2	superkingdom	50.8102	80.5175	50.00	100.00	66.67	2	2	0
cami_i_lc	kraken2	phylum	43.8528	78.1033	100.00	100.00	100.00	2	0	0
cami_i_lc	kraken2	class	43.8528	78.1033	100.00	100.00	100.00	2	0	0
cami_i_lc	kraken2	order	43.8529	78.1033	100.00	100.00	100.00	3	0	0
cami_i_lc	kraken2	family	43.8670	78.1174	100.00	80.00	88.89	4	0	1
cami_i_lc	kraken2	genus	44.1012	78.5388	80.00	50.00	61.54	4	1	4
cami_i_lc	kraken2	species	47.3967	84.4160	60.00	37.50	46.15	3	2	5
cami_i_lc	squeezemeta	superkingdom	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_i_lc	squeezemeta	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_i_lc	squeezemeta	class	50.0000	100.0000	0.00	0.00	0.00	0	0	2
cami_i_lc	squeezemeta	order	50.0001	100.0000	0.00	0.00	0.00	0	0	3
cami_i_lc	squeezemeta	family	50.0000	100.0000	0.00	0.00	0.00	0	0	5
cami_i_lc	squeezemeta	genus	50.0000	100.0000	0.00	0.00	0.00	0	0	8
cami_i_lc	squeezemeta	species	50.0000	100.0000	0.00	0.00	0.00	0	0	8
cami_i_mc	ganon2	superkingdom	49.4109	97.6055	100.00	66.67	80.00	2	0	1
cami_i_mc	ganon2	phylum	49.4762	97.7345	100.00	66.67	80.00	2	0	1
cami_i_mc	ganon2	class	49.4763	97.7345	100.00	50.00	66.67	2	0	2
cami_i_mc	ganon2	order	49.4763	97.7345	100.00	33.33	50.00	2	0	4
cami_i_mc	ganon2	family	49.8113	98.3962	50.00	16.67	25.00	1	1	5
cami_i_mc	ganon2	genus	49.8112	98.3962	50.00	12.50	20.00	1	1	7
cami_i_mc	ganon2	species	49.8140	98.3963	50.00	8.33	14.29	1	1	11
cami_i_mc	hymet	superkingdom	63.2148	42.1432	66.67	66.67	66.67	2	1	1
cami_i_mc	hymet	phylum	13.2148	13.2148	100.00	66.67	80.00	2	0	1
cami_i_mc	hymet	class	37.4504	37.4504	100.00	75.00	85.71	3	0	1
cami_i_mc	hymet	order	37.4504	37.4504	100.00	83.33	90.91	5	0	1
cami_i_mc	hymet	family	53.7094	53.7094	80.00	66.67	72.73	4	1	2
cami_i_mc	hymet	genus	61.6601	61.6602	87.50	87.50	87.50	7	1	1
cami_i_mc	hymet	species	71.5434	71.5435	63.64	58.33	60.87	7	4	5
cami_i_mc	hymet_reads	superkingdom	65.1148	43.4565	40.00	66.67	50.00	2	3	1
cami_i_mc	hymet_reads	phylum	15.3092	15.3092	50.00	66.67	57.14	2	2	1
cami_i_mc	hymet_reads	class	62.7402	62.7401	60.00	75.00	66.67	3	2	1
cami_i_mc	hymet_reads	order	70.6985	70.6985	80.00	66.67	72.73	4	1	2
cami_i_mc	hymet_reads	family	73.7756	73.7756	36.36	66.67	47.06	4	7	2
cami_i_mc	hymet_reads	genus	97.3006	97.3006	24.00	75.00	36.36	6	19	2
cami_i_mc	hymet_reads	species	98.9113	98.9114	12.12	33.33	17.78	4	29	8
cami_i_mc	kraken2	superkingdom	43.5890	75.5552	50.00	66.67	57.14	2	2	1
cami_i_mc	kraken2	phylum	42.9487	75.2809	100.00	66.67	80.00	2	0	1
cami_i_mc	kraken2	class	42.9488	75.2809	100.00	75.00	85.71	3	0	1
cami_i_mc	kraken2	order	42.9495	75.2831	100.00	66.67	80.00	4	0	2
cami_i_mc	kraken2	family	45.3977	79.5744	75.00	50.00	60.00	3	1	3
cami_i_mc	kraken2	genus	45.4110	79.5909	83.33	62.50	71.43	5	1	3
cami_i_mc	kraken2	species	48.8598	85.6451	66.67	33.33	44.44	4	2	8
cami_i_mc	squeezemeta	superkingdom	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_i_mc	squeezemeta	phylum	50.0000	100.0000	0.00	0.00	0.00	0	0	3
cami_i_mc	squeezemeta	class	50.0001	100.0000	0.00	0.00	0.00	0	0	4
cami_i_mc	squeezemeta	order	50.0001	100.0000	0.00	0.00	0.00	0	0	6
cami_i_mc	squeezemeta	family	50.0001	100.0000	0.00	0.00	0.00	0	0	6
cami_i_mc	squeezemeta	genus	49.9999	100.0000	0.00	0.00	0.00	0	0	8
cami_i_mc	squeezemeta	species	49.9999	100.0000	0.00	0.00	0.00	0	0	12
cami_ii_marine	ganon2	superkingdom	49.4512	97.7484	100.00	100.00	100.00	2	0	0
cami_ii_marine	ganon2	phylum	49.5427	97.9292	100.00	100.00	100.00	2	0	0
