sample	tool	mode	stage	started_at	finished_at	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb	command	exit_code
cami_sample_0	hymet	contigs	run	2025-10-26T13:00:15Z	2025-10-26T13:04:39Z	263.630	339.230	31.720	17.378	2.417	0.840	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/hymet	0
cami_sample_0	hymet	contigs	eval	2025-10-26T13:04:39Z	2025-10-26T13:05:00Z	21.090	24.130	2.650	1.160	0.024	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool hymet --pred-profile /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/hymet/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/hymet/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/hymet/resultados.paf --threads 8	0
cami_sample_0	kraken2	contigs	run	2025-10-26T13:05:00Z	2025-10-26T13:05:50Z	49.210	17.410	21.040	11.148	21.596	0.073	/mnt/HC_Volume_103721442/HYMET/bench/run_kraken2.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/kraken2	0
cami_sample_0	kraken2	contigs	eval	2025-10-26T13:05:50Z	2025-10-26T13:06:04Z	14.450	14.630	1.850	0.926	0.024	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool kraken2 --pred-profile /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/kraken2/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/kraken2/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf  --threads 8	0
cami_sample_0	centrifuge	contigs	run	2025-10-26T13:06:04Z	2025-10-26T13:07:04Z	59.800	133.440	2.700	0.761	0.979	0.025	/mnt/HC_Volume_103721442/HYMET/bench/run_centrifuge.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/centrifuge	0
cami_sample_0	centrifuge	contigs	eval	2025-10-26T13:07:04Z	2025-10-26T13:07:18Z	14.440	14.720	1.800	0.925	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool centrifuge --pred-profile /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/centrifuge/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/centrifuge/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf  --threads 8	0
cami_sample_0	ganon2	contigs	run	2025-10-26T13:07:18Z	2025-10-26T13:07:23Z	4.090	22.040	0.840	0.180	0.123	0.001	/mnt/HC_Volume_103721442/HYMET/bench/run_ganon2.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/ganon2	0
cami_sample_0	ganon2	contigs	eval	2025-10-26T13:07:23Z	2025-10-26T13:07:36Z	12.950	13.260	1.750	0.926	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool ganon2 --pred-profile /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/ganon2/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/ganon2/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf  --threads 8	0
cami_sample_0	viwrap	contigs	run	2025-10-26T13:07:36Z	2025-10-26T13:23:11Z	935.210	3464.680	228.870	18.385	2.875	3.016	/mnt/HC_Volume_103721442/HYMET/bench/run_viwrap.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/viwrap	0
cami_sample_0	viwrap	contigs	eval	2025-10-26T13:23:11Z	2025-10-26T13:23:22Z	11.560	10.410	1.150	0.926	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool viwrap --pred-profile /data/HYMET/results/cami/contig_full/run_20251026T130015Z/raw/contigs/cami_sample_0/viwrap/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs  --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf  --threads 8	0
