sample	tool	mode	stage	started_at	finished_at	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb	command	exit_code
cami_sample_0	hymet	contigs	run	2025-10-25T02:23:38Z	2025-10-25T02:28:24Z	286.160	337.360	38.330	17.378	16.453	0.840	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/contigs/cami_sample_0/hymet	0
cami_sample_0	hymet	contigs	eval	2025-10-25T02:28:24Z	2025-10-25T02:28:45Z	20.930	23.410	2.730	1.052	0.025	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool hymet --pred-profile /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/contigs/cami_sample_0/hymet/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/contigs/cami_sample_0/hymet/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/contigs/cami_sample_0/hymet/resultados.paf --threads 8	0
cami_sample_0	kraken2	contigs	run	2025-10-25T02:28:45Z	2025-10-25T02:29:33Z	48.500	17.480	21.710	11.137	21.860	0.073	/mnt/HC_Volume_103721442/HYMET/bench/run_kraken2.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	0
cami_sample_0	centrifuge	contigs	run	2025-10-25T02:29:33Z	2025-10-25T02:30:32Z	58.340	128.060	2.180	0.750	0.981	0.018	/mnt/HC_Volume_103721442/HYMET/bench/run_centrifuge.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	1
cami_sample_0	ganon2	contigs	run	2025-10-25T02:30:32Z	2025-10-25T02:30:36Z	4.400	21.920	0.920	0.183	0.243	0.001	/mnt/HC_Volume_103721442/HYMET/bench/run_ganon2.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	0
cami_sample_0	viwrap	contigs	run	2025-10-25T02:30:36Z	2025-10-25T02:30:36Z	0.140	0.090	0.040	0.010	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/run_viwrap.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	1
cami_sample_0	tama	contigs	run	2025-10-25T02:30:37Z	2025-10-25T02:30:37Z	0.170	0.110	0.060	0.010	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/run_tama.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	1
cami_sample_0	squeezemeta	contigs	run	2025-10-25T02:30:37Z	2025-10-25T02:30:37Z	0.220	0.130	0.070	0.013	0.001	0.000	/mnt/HC_Volume_103721442/HYMET/bench/run_squeezemeta.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	0
cami_sample_0	megapath_nano	contigs	run	2025-10-25T02:30:37Z	2025-10-25T02:30:37Z	0.010	0.000	0.000	0.003	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/run_megapath_nano.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8	1
cami_i_lc	hymet	contigs	run	2025-10-25T02:30:37Z	2025-10-25T02:34:46Z	249.050	239.030	33.060	17.368	10.530	0.247	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_lc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/contigs.fna --threads 8 --out /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/contigs/cami_i_lc/hymet	0
