sample	tool	mode	stage	started_at	finished_at	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb	command	exit_code
cami_sample_0	hymet_reads	reads	run	2025-10-25T03:02:05Z	2025-10-25T03:06:23Z	257.610	272.190	32.940	17.378	8.994	1.053	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_sample_0/hymet_reads --mode reads	0
cami_sample_0	hymet_reads	reads	eval	2025-10-25T03:06:23Z	2025-10-25T03:06:41Z	17.570	18.730	1.940	1.130	0.025	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool hymet_reads --pred-profile /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_sample_0/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_sample_0/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_sample_0/hymet_reads/resultados.paf --threads 8	0
cami_i_lc	hymet_reads	reads	run	2025-10-25T03:06:41Z	2025-10-25T03:10:47Z	246.290	270.910	30.160	17.379	1.119	0.670	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_lc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/contigs.fna --threads 8 --out /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_lc/hymet_reads --mode reads	0
cami_i_lc	hymet_reads	reads	eval	2025-10-25T03:10:47Z	2025-10-25T03:11:05Z	17.440	18.390	1.920	1.082	0.003	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_lc --tool hymet_reads --pred-profile /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_lc/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/truth_profile.tsv --pred-contigs /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_lc/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/contigs.fna --paf /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_lc/hymet_reads/resultados.paf --threads 8	0
cami_i_mc	hymet_reads	reads	run	2025-10-25T03:11:05Z	2025-10-25T03:15:09Z	243.880	270.340	29.880	17.376	1.075	0.675	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_mc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/contigs.fna --threads 8 --out /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_mc/hymet_reads --mode reads	0
cami_i_mc	hymet_reads	reads	eval	2025-10-25T03:15:09Z	2025-10-25T03:15:25Z	15.930	16.290	1.920	1.176	0.004	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_mc --tool hymet_reads --pred-profile /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_mc/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/truth_profile.tsv --pred-contigs /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_mc/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/contigs.fna --paf /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_mc/hymet_reads/resultados.paf --threads 8	0
cami_i_hc	hymet_reads	reads	run	2025-10-25T03:15:25Z	2025-10-25T03:19:31Z	246.420	273.000	30.230	17.377	0.746	0.649	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_hc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/contigs.fna --threads 8 --out /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_hc/hymet_reads --mode reads	0
cami_i_hc	hymet_reads	reads	eval	2025-10-25T03:19:31Z	2025-10-25T03:19:48Z	16.860	18.170	1.930	1.152	0.006	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_hc --tool hymet_reads --pred-profile /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_hc/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/truth_profile.tsv --pred-contigs /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_hc/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/contigs.fna --paf /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_i_hc/hymet_reads/resultados.paf --threads 8	0
cami_ii_mousegut	hymet_reads	reads	run	2025-10-25T03:19:49Z	2025-10-25T03:23:51Z	242.410	270.140	29.710	17.379	0.040	0.613	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_ii_mousegut --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/contigs.fna --threads 8 --out /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_ii_mousegut/hymet_reads --mode reads	0
cami_ii_mousegut	hymet_reads	reads	eval	2025-10-25T03:23:51Z	2025-10-25T03:24:08Z	17.370	18.380	1.920	1.151	0.006	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_ii_mousegut --tool hymet_reads --pred-profile /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_ii_mousegut/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/truth_profile.tsv --pred-contigs /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_ii_mousegut/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/contigs.fna --paf /data/HYMET/results/cami/contig_vs_reads/run_20251025T020028Z/raw/reads/cami_ii_mousegut/hymet_reads/resultados.paf --threads 8	0
