sample	tool	rank	n	correct	accuracy_percent
cami_i_hc	hymet	superkingdom	52198	52141	99.8908
cami_i_hc	hymet	phylum	52198	52141	99.8908
cami_i_hc	hymet	class	52198	52140	99.8889
cami_i_hc	hymet	order	52198	52137	99.8831
cami_i_hc	hymet	family	52198	51975	99.5728
cami_i_hc	hymet	genus	52198	51964	99.5517
cami_i_hc	hymet	species	52198	41829	80.1353
cami_i_lc	hymet	superkingdom	27074	27071	99.9889
cami_i_lc	hymet	phylum	27074	27069	99.9815
cami_i_lc	hymet	class	27074	27069	99.9815
cami_i_lc	hymet	order	27074	27030	99.8375
cami_i_lc	hymet	family	27074	27019	99.7969
cami_i_lc	hymet	genus	27074	26564	98.1163
cami_i_lc	hymet	species	27074	20107	74.2668
cami_i_mc	hymet	superkingdom	33371	33369	99.9940
cami_i_mc	hymet	phylum	33371	33369	99.9940
cami_i_mc	hymet	class	33371	33367	99.9880
cami_i_mc	hymet	order	33371	33315	99.8322
cami_i_mc	hymet	family	33371	27559	82.5837
cami_i_mc	hymet	genus	33371	27442	82.2331
cami_i_mc	hymet	species	33371	19326	57.9126
cami_ii_marine	hymet	superkingdom	32638	32608	99.9081
cami_ii_marine	hymet	phylum	32638	32608	99.9081
cami_ii_marine	hymet	class	32638	32580	99.8223
cami_ii_marine	hymet	order	32638	32540	99.6997
cami_ii_marine	hymet	family	32638	32540	99.6997
cami_ii_marine	hymet	genus	32638	30201	92.5332
cami_ii_marine	hymet	species	32638	28920	88.6084
cami_ii_mousegut	hymet	superkingdom	40222	40222	100.0000
cami_ii_mousegut	hymet	phylum	40222	40217	99.9876
cami_ii_mousegut	hymet	class	40222	40203	99.9528
cami_ii_mousegut	hymet	order	40222	40203	99.9528
cami_ii_mousegut	hymet	family	40222	40102	99.7017
cami_ii_mousegut	hymet	genus	40222	35741	88.8593
cami_ii_mousegut	hymet	species	40222	35641	88.6107
cami_ii_strainmadness	hymet	superkingdom	17714	17705	99.9492
cami_ii_strainmadness	hymet	phylum	17714	17705	99.9492
cami_ii_strainmadness	hymet	class	17714	17697	99.9040
cami_ii_strainmadness	hymet	order	17714	17697	99.9040
cami_ii_strainmadness	hymet	family	17714	17697	99.9040
cami_ii_strainmadness	hymet	genus	17714	17523	98.9218
cami_ii_strainmadness	hymet	species	17714	14486	81.7771
cami_sample_0	hymet	superkingdom	169392	169312	99.9528
cami_sample_0	hymet	phylum	169392	169286	99.9374
cami_sample_0	hymet	class	169392	169122	99.8406
cami_sample_0	hymet	order	169392	168774	99.6352
cami_sample_0	hymet	family	169392	162125	95.7100
cami_sample_0	hymet	genus	169392	156105	92.1561
cami_sample_0	hymet	species	169392	138302	81.6461
