sample	tool	rank	L1_total_variation_pctpts	BrayCurtis_pct	Precision_%	Recall_%	F1_%	TP	FP	FN
cami_i_hc	hymet	superkingdom	55.9217	37.2812	50.00	100.00	66.67	2	2	0
cami_i_hc	hymet	phylum	6.0344	6.0344	80.00	100.00	88.89	4	1	0
cami_i_hc	hymet	class	23.0981	23.0981	83.33	100.00	90.91	5	1	0
cami_i_hc	hymet	order	23.0981	23.0980	100.00	100.00	100.00	8	0	0
cami_i_hc	hymet	family	23.0981	23.0981	100.00	100.00	100.00	9	0	0
cami_i_hc	hymet	genus	28.3882	28.3882	100.00	84.62	91.67	11	0	2
cami_i_hc	hymet	species	43.2587	43.2587	32.35	78.57	45.83	11	23	3
cami_i_lc	hymet	superkingdom	81.3570	54.2386	66.67	100.00	80.00	2	1	0
cami_i_lc	hymet	phylum	31.3588	31.3588	100.00	100.00	100.00	2	0	0
cami_i_lc	hymet	class	31.3588	31.3588	100.00	100.00	100.00	2	0	0
cami_i_lc	hymet	order	31.3589	31.3589	100.00	100.00	100.00	3	0	0
cami_i_lc	hymet	family	33.4892	33.4892	100.00	100.00	100.00	5	0	0
cami_i_lc	hymet	genus	46.0632	46.0631	85.71	75.00	80.00	6	1	2
cami_i_lc	hymet	species	47.3752	47.3752	50.00	75.00	60.00	6	6	2
cami_i_mc	hymet	superkingdom	63.2133	42.1426	66.67	66.67	66.67	2	1	1
cami_i_mc	hymet	phylum	13.2148	13.2148	100.00	66.67	80.00	2	0	1
cami_i_mc	hymet	class	37.4504	37.4504	100.00	75.00	85.71	3	0	1
cami_i_mc	hymet	order	37.4504	37.4504	100.00	83.33	90.91	5	0	1
cami_i_mc	hymet	family	53.7094	53.7094	80.00	66.67	72.73	4	1	2
cami_i_mc	hymet	genus	61.6571	61.6572	87.50	87.50	87.50	7	1	1
cami_i_mc	hymet	species	71.5404	71.5405	63.64	58.33	60.87	7	4	5
cami_ii_marine	hymet	superkingdom	51.4531	34.3021	66.67	100.00	80.00	2	1	0
cami_ii_marine	hymet	phylum	1.4531	1.4531	100.00	100.00	100.00	2	0	0
cami_ii_marine	hymet	class	3.8071	3.8071	100.00	100.00	100.00	4	0	0
cami_ii_marine	hymet	order	6.9351	6.9351	100.00	100.00	100.00	5	0	0
cami_ii_marine	hymet	family	6.9351	6.9351	100.00	100.00	100.00	5	0	0
cami_ii_marine	hymet	genus	16.1445	16.1445	90.00	90.00	90.00	9	1	1
cami_ii_marine	hymet	species	18.4353	18.4353	60.00	81.82	69.23	9	6	2
cami_ii_mousegut	hymet	superkingdom	57.1062	38.0708	66.67	100.00	80.00	2	1	0
cami_ii_mousegut	hymet	phylum	10.9621	10.9621	100.00	100.00	100.00	3	0	0
cami_ii_mousegut	hymet	class	16.0128	16.0128	100.00	100.00	100.00	6	0	0
cami_ii_mousegut	hymet	order	16.0128	16.0128	100.00	100.00	100.00	6	0	0
cami_ii_mousegut	hymet	family	24.6902	24.6902	100.00	88.89	94.12	8	0	1
cami_ii_mousegut	hymet	genus	37.5462	37.5462	90.91	76.92	83.33	10	1	3
cami_ii_mousegut	hymet	species	44.3001	44.3002	72.73	57.14	64.00	8	3	6
cami_ii_strainmadness	hymet	superkingdom	53.9789	35.9860	66.67	100.00	80.00	2	1	0
cami_ii_strainmadness	hymet	phylum	3.9789	3.9789	100.00	100.00	100.00	2	0	0
cami_ii_strainmadness	hymet	class	8.9909	8.9909	100.00	100.00	100.00	3	0	0
cami_ii_strainmadness	hymet	order	8.9909	8.9909	100.00	100.00	100.00	3	0	0
cami_ii_strainmadness	hymet	family	8.9909	8.9909	100.00	100.00	100.00	4	0	0
cami_ii_strainmadness	hymet	genus	11.6838	11.6838	90.00	90.00	90.00	9	1	1
cami_ii_strainmadness	hymet	species	25.3688	25.3688	47.62	90.91	62.50	10	11	1
cami_sample_0	hymet	superkingdom	0.0372	0.0372	100.00	100.00	100.00	1	0	0
cami_sample_0	hymet	phylum	19.6820	19.6820	75.00	100.00	85.71	3	1	0
cami_sample_0	hymet	class	69.1885	69.1885	83.33	100.00	90.91	5	1	0
cami_sample_0	hymet	order	70.4459	70.4460	66.67	100.00	80.00	6	3	0
cami_sample_0	hymet	family	71.3456	71.3456	47.06	80.00	59.26	8	9	2
cami_sample_0	hymet	genus	90.3513	91.0751	30.00	75.00	42.86	9	21	3
cami_sample_0	hymet	species	94.5968	94.5972	26.09	57.14	35.82	12	34	9
