sample	tool	mode	stage	started_at	finished_at	wall_seconds	user_seconds	sys_seconds	max_rss_gb	io_input_mb	io_output_mb	command	exit_code
cami_sample_0	hymet_reads		run	2025-10-28T23:30:19Z	2025-10-28T23:36:04Z	344.260	373.310	56.190	17.369	0.000	16.271	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_sample_0 --contigs /mnt/HC_Volume_103721442/cami/sample_0.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet_reads --mode reads	0
cami_sample_0	hymet_reads		eval	2025-10-28T23:36:04Z	2025-10-28T23:36:26Z	22.360	22.950	2.240	1.050	0.000	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_sample_0 --tool hymet_reads --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/cami/sample_0/taxonomic_profile_0.txt --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/cami/sample_0/2017.12.29_11.37.26_sample_0/contigs/gsa_mapping_new.tsv --pred-fasta /mnt/HC_Volume_103721442/cami/sample_0.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_sample_0/hymet_reads/resultados.paf --threads 8	0
cami_i_lc	hymet_reads		run	2025-10-28T23:36:26Z	2025-10-28T23:42:07Z	340.860	296.940	60.100	17.370	0.062	16.210	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_lc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/contigs.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_lc/hymet_reads --mode reads	0
cami_i_lc	hymet_reads		eval	2025-10-28T23:42:07Z	2025-10-28T23:42:24Z	17.170	18.280	1.980	1.109	0.003	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_lc --tool hymet_reads --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_lc/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/truth_profile.tsv --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_lc/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_lc/contigs.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_lc/hymet_reads/resultados.paf --threads 8	0
cami_i_mc	hymet_reads		run	2025-10-28T23:42:25Z	2025-10-28T23:47:57Z	332.300	285.850	53.570	17.365	0.003	12.936	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_mc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/contigs.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_mc/hymet_reads --mode reads	0
cami_i_mc	hymet_reads		eval	2025-10-28T23:47:57Z	2025-10-28T23:48:15Z	18.090	19.020	1.890	1.119	0.004	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_mc --tool hymet_reads --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_mc/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/truth_profile.tsv --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_mc/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_mc/contigs.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_mc/hymet_reads/resultados.paf --threads 8	0
cami_i_hc	hymet_reads		run	2025-10-28T23:48:15Z	2025-10-28T23:54:04Z	349.220	298.210	54.830	17.365	0.058	13.895	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_i_hc --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/contigs.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_hc/hymet_reads --mode reads	0
cami_i_hc	hymet_reads		eval	2025-10-28T23:54:04Z	2025-10-28T23:54:22Z	17.250	18.530	1.840	1.124	0.006	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_i_hc --tool hymet_reads --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_hc/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/truth_profile.tsv --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_hc/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_i_hc/contigs.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_i_hc/hymet_reads/resultados.paf --threads 8	0
cami_ii_mousegut	hymet_reads		run	2025-10-28T23:54:22Z	2025-10-28T23:59:19Z	297.420	230.160	36.340	17.362	0.040	3.940	/mnt/HC_Volume_103721442/HYMET/bench/run_hymet.sh --sample cami_ii_mousegut --contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/contigs.fna --threads 8 --out /mnt/HC_Volume_103721442/HYMET/bench/out/cami_ii_mousegut/hymet_reads --mode reads	0
cami_ii_mousegut	hymet_reads		eval	2025-10-28T23:59:19Z	2025-10-28T23:59:36Z	16.640	17.840	1.820	1.043	0.006	0.000	/mnt/HC_Volume_103721442/HYMET/bench/lib/run_eval.sh --sample cami_ii_mousegut --tool hymet_reads --pred-profile /mnt/HC_Volume_103721442/HYMET/bench/out/cami_ii_mousegut/hymet_reads/profile.cami.tsv --truth-profile /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/truth_profile.tsv --pred-contigs /mnt/HC_Volume_103721442/HYMET/bench/out/cami_ii_mousegut/hymet_reads/classified_sequences.tsv --truth-contigs /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/truth_contigs.tsv --pred-fasta /mnt/HC_Volume_103721442/HYMET/bench/data/cami_ii_mousegut/contigs.fna --paf /mnt/HC_Volume_103721442/HYMET/bench/out/cami_ii_mousegut/hymet_reads/resultados.paf --threads 8	0
