sample	metric	value
zymo_mc	top_superkingdom	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli (22.222222)
zymo_mc	top_species	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli (22.222222)
zymo_mc	top_phylum	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli (22.222222)
zymo_mc	top_order	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli (22.222222)
zymo_mc	top_genus	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli (22.222222)
zymo_mc	top_family	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli (22.222222)
zymo_mc	top_class	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli (22.222222)
zymo_mc	top_superkingdom	Bacteria|Bacillota|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus spizizenii (15.277778)
zymo_mc	top_species	Bacteria|Bacillota|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus spizizenii (15.277778)
zymo_mc	top_phylum	Bacteria|Bacillota|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus spizizenii (15.277778)
gut_case	top_superkingdom	Bacteria|Bacillota|Clostridia||||Clostridia bacterium UC5.1-1D4 (12.234475)
gut_case	top_class	Bacteria|Bacillota|Clostridia||||Clostridia bacterium UC5.1-1D4 (12.219345)
gut_case	top_species	Bacteria|Bacillota|Clostridia||||Clostridia bacterium UC5.1-1D4 (12.218873)
gut_case	top_phylum	Bacteria|Bacillota|Clostridia||||Clostridia bacterium UC5.1-1D4 (12.218873)
gut_case	top_family	Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium|[Clostridium] scindens (11.284138)
gut_case	top_genus	Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium|[Clostridium] scindens (11.014744)
gut_case	top_order	Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium|[Clostridium] scindens (10.636516)
gut_case	top_superkingdom	Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium|[Clostridium] scindens (9.336429)
gut_case	top_class	Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium|[Clostridium] scindens (9.324883)
gut_case	top_species	Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Lachnoclostridium|[Clostridium] scindens (9.324523)
