sample	metric	value
zymo_mc	top_superkingdom	Bacteria (100.000000)
zymo_mc	top_phylum	Bacteria|Bacillota (56.944444)
zymo_mc	top_class	Bacteria|Bacillota|Bacilli (56.944444)
zymo_mc	top_phylum	Bacteria|Pseudomonadota (43.055556)
zymo_mc	top_class	Bacteria|Pseudomonadota|Gammaproteobacteria (43.055556)
zymo_mc	top_order	Bacteria|Bacillota|Bacilli|Bacillales (41.666667)
zymo_mc	top_order	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales (38.888889)
zymo_mc	top_family	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae (38.888889)
zymo_mc	top_genus	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia (26.388889)
zymo_mc	top_species	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli (22.222222)
gut_case	top_superkingdom	Bacteria (99.846608)
gut_case	top_phylum	Bacteria|Bacillota (82.092429)
gut_case	top_class	Bacteria|Bacillota|Clostridia (74.536873)
gut_case	top_order	Bacteria|Bacillota|Clostridia|Lachnospirales (36.680433)
gut_case	top_family	Bacteria|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae (36.680433)
gut_case	top_order	Bacteria|Bacillota|Clostridia|Eubacteriales (20.865290)
gut_case	top_species	Bacteria|Bacillota|Clostridia||||Clostridia bacterium UC5.1-1D4 (12.440511)
gut_case	top_order	Bacteria|Bacillota|Clostridia| (12.440511)
gut_case	top_genus	Bacteria|Bacillota|Clostridia||| (12.440511)
gut_case	top_family	Bacteria|Bacillota|Clostridia|| (12.440511)
